nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm2467538	Rob Marrocco Jr.	1976	\N	casting_department,producer,miscellaneous	tt2621006,tt6765572,tt7708866,tt6334658
nm2470510	Thomas Maurer	\N	\N	actor,writer,director	tt0303754,tt0488450,tt0990417,tt1428464
nm2471388	Oliver 'Ali' Nejad	\N	\N	actor,producer	tt0971928,tt4314742,tt1195298,tt0770617
nm2471678	Scott Reside	1971	2010	producer,miscellaneous,manager	tt0462104,tt1536749
nm2474122	Boris Anderson	\N	\N	writer,director,assistant_director	tt0108977,tt1736093,tt0831854,tt0835962
nm2483866	Paula Macneill	\N	\N	actress,music_department	tt0213965,tt1001473,tt1208635,tt4159076
nm2499386	Yûgo Kanno	\N	\N	composer,music_department	tt5537534,tt2379308,tt3996158,tt6574146
nm2500060	Freddy Ridgeway	1944	\N	actor	tt0046965,tt0045566,tt0047767,tt0044263
nm2510874	Sophie Sartain	\N	\N	writer,producer,director	tt2244856,tt4203996,tt7689924,tt2704752
nm2514440	Michael Baiardi	\N	\N	composer,music_department,soundtrack	tt1720601,tt2249007,tt3228904,tt0848228
nm2514888	Arjen Lubach	1979	\N	writer,actor	tt1643094,tt0389698,tt2102378,tt1194152
nm2530996	Eda Özerkan	1984	\N	actress	tt1428614,tt1069207,tt1286677,tt0884805
nm2550677	Ferran Real	\N	\N	director,editor	tt0462143,tt3201718
nm2552998	Kenneth Browning	\N	\N	actor	tt4062720,tt2410682,tt1540950,tt1754703
nm2561248	Rhett McLaughlin	\N	\N	writer,producer,actor	tt2880496,tt1385581,tt4087032,tt0969730
nm2588355	Kathy Gonzales	1977	\N	actress,producer,production_manager	tt1340620,tt1351211,tt1621445,tt0478311
nm2591501	John Gonzales	1969	\N	writer,producer,director	tt1340620,tt0982868,tt1351211,tt1621445
nm2592220	Robbie Tollin	\N	\N	producer,editorial_department	tt1730768,tt3609352,tt0202179,tt0084997
nm2599553	Peter Cohen	\N	\N	director,cinematographer,editor	tt0766159,tt1145515,tt0878838,tt1055297
nm2605032	Daniel Fernandez	\N	\N		tt0486531,tt0206544,tt1157720
